Hour,Date,Charging energy,Price,Energy Purchase from grid,Cost of energy supply from grid at DT,Cost of energy supply on route,EVs slow charging,EVs fast charging 50kW,EVs fast charging 150kW,EVs fast charging 350kW,EVs route charging,Slow Charging pertime,Fast Charging pertime 50kW,Fast Charging pertime 150kW,Fast Charging pertime 350kW,Route Charging pertime
0,183.0,243.01924587074978,0.39584650126027393,252.09465339289744,108.45202750476093,0.0,34.61095890410959,0.0,0.0,0.0,0.0,243.01924587074978,0.0,0.0,0.0,0.0
1,183.0,242.48330351872914,0.37442668536986295,251.53869659619554,102.78293021359991,0.0,34.50410958904109,0.0,0.0,0.0,0.0,242.48330351872914,0.0,0.0,0.0,0.0
2,183.0,242.34876478053175,0.36670876931506846,251.39913358976665,100.80475860394215,0.0,34.56164383561644,0.0,0.0,0.0,0.0,242.34876478053175,0.0,0.0,0.0,0.0
3,183.0,242.27272579616957,0.37162913095890404,251.32025497528304,101.9113406341132,0.0,34.63013698630137,0.0,0.0,0.0,0.0,242.27272579616957,0.0,0.0,0.0,0.0
4,183.0,241.98233628962703,0.4108589128767123,251.01902104733435,111.88368720676695,0.0,34.652054794520545,0.0,0.0,0.0,0.0,241.98233628962703,0.0,0.0,0.0,0.0
5,183.0,242.07028959992633,0.4922313941917808,251.11025892108876,132.01980082519248,0.0,34.704109589041096,0.0,0.0,0.0,0.0,242.07028959992633,0.0,0.0,0.0,0.0
6,183.0,241.09024421314817,0.6577371471780822,250.09361432899522,173.26861084501354,0.0,34.66301369863014,0.0,0.0,0.0,0.0,241.09024421314817,0.0,0.0,0.0,0.0
7,183.0,240.4241016932006,0.7878445032328766,249.40259511743147,205.16451284587237,3.8582764230371676,34.06849315068493,0.0,0.0,0.0,0.0410958904109589,240.00619399973905,0.0,0.0,0.0,0.4179076934615539
8,183.0,245.92492130524982,0.7928485347945206,255.10883952827092,205.03038987380816,62.983936653756096,33.75068493150685,0.0,0.0,0.0,0.4657534246575342,239.10284097556206,0.0,0.0,0.0,6.822080329687738
9,183.0,135.4207289757358,0.7437254189589042,140.4779346221339,71.39703777030746,436.7853440780435,12.383561643835616,0.0,0.0,0.0,2.5095890410958903,88.11049620143986,0.0,0.0,0.0,47.31023277429594
10,183.0,178.45852328750198,0.6923127899178082,185.12294946836323,8.528471424288826,1543.9789498978523,1.5315068493150685,0.0,0.0,0.0,8.183561643835617,11.223050512049198,0.0,0.0,0.0,167.23547277545273
11,183.0,348.89816607507396,0.6435788659726027,361.9275581691639,0.44457585148639395,3214.6040825751093,0.0958904109589041,0.0,0.0,0.0,15.723287671232876,0.7095890410958904,0.0,0.0,0.0,348.18857703397805
12,183.0,512.1362440514015,0.5977264832876712,531.2616639537362,0.0,4728.228809188251,0.0,0.0,0.0,0.0,22.29041095890411,0.0,0.0,0.0,0.0,512.1362440514015
13,183.0,670.7390901239296,0.5759558242191781,695.7874378878939,0.0,6192.508197202255,0.0,0.0,0.0,0.0,26.797260273972604,0.0,0.0,0.0,0.0,670.7390901239296
14,183.0,767.5423877171575,0.5952167026849314,796.2057963870928,0.0,7086.231587845126,0.0,0.0,0.0,0.0,27.334246575342465,0.0,0.0,0.0,0.0,767.5423877171575
15,183.0,733.1856959619064,0.6485033477260274,760.5660746492804,0.0,6769.038064378596,0.0,0.0,0.0,0.0,25.364383561643837,0.0,0.0,0.0,0.0,733.1856959619064
16,183.0,547.567968975974,0.7431676195068493,568.016565327774,0.0,5055.347431417188,0.0,0.0,0.0,0.0,21.095890410958905,0.0,0.0,0.0,0.0,547.567968975974
17,183.0,331.0180819347716,0.8199094145753425,343.3797530443689,0.0,3056.0798020948832,0.0,0.0,0.0,0.0,15.128767123287671,0.0,0.0,0.0,0.0,331.0180819347716
18,183.0,155.3660230751001,0.8319065398356165,161.1680737293573,19.201954111382882,1241.2820026758864,2.8273972602739725,0.0,0.0,0.0,8.008219178082191,20.917051099869266,0.0,0.0,0.0,134.44897197523082
19,183.0,278.7234488347694,0.7423908203835616,289.13220833482626,191.23138445530347,383.8898027800049,33.88493150684931,0.0,0.0,0.0,3.43013698630137,237.14257581455314,0.0,0.0,0.0,41.58087302021626
20,183.0,251.13546994051438,0.6373663745753424,260.5139729673422,169.34293956848254,73.25260907916756,34.131506849315066,0.0,0.0,0.0,1.010958904109589,243.2011423953102,0.0,0.0,0.0,7.934327545204214
21,183.0,244.19060560065498,0.546627933369863,253.30975684715605,146.31040726446784,10.801830139988729,34.416438356164385,0.0,0.0,0.0,0.18356164383561643,243.02060961695284,0.0,0.0,0.0,1.1699959837021499
22,183.0,243.22030030068686,0.4637297437808219,252.3032160795542,125.31068308049186,0.3034036535389992,34.48219178082192,0.0,0.0,0.0,0.00821917808219178,243.18743725326982,0.0,0.0,0.0,0.032863047417033164
23,183.0,243.41738996209608,0.4217128661917808,252.50766593578786,114.84196470145342,0.0,34.53150684931507,0.0,0.0,0.0,0.0,243.41738996209608,0.0,0.0,0.0,0.0
